band,barrier_free,capacity,card,charter,child,course,credit_card,english,free_drink,free_food,horigotatsu,karaoke,ktai_coupon,lat,lng,lunch,midnight,non_smoking,parking,party_capacity,pet,private_room,show,tatami,tv,wifi,budget.code,genre.code,large_area.code,large_service_area.code,middle_area.code,service_area.code,small_area.code
0,0,100,1,1,1,1,"[V,M,A,D,J]",1,1,1,1,0,0,35.00654856,135.7693643,0,0,2,0,100,0,1,0,1,0,0,2500,焼肉・ホルモン,Z022,SS20,Y432,SA22,X430
0,0,42,0,1,1,1,,0,1,1,1,0,0,35.00739931,135.7701158,0,0,2,0,30,0,1,0,1,0,0,2500,韓国料理,Z022,SS20,Y432,SA22,X430
0,0,34,1,0,2,1,"[V,M,A,D,J, {'code': 'c12', 'name': 'Discover'}]",0,0,0,0,0,0,34.99902851,135.7662851,1,0,2,0,10,0,0,0,1,1,1,2500,韓国料理,Z022,SS20,Y432,SA22,X430
1,0,130,0,1,0,1,,1,1,1,0,0,0,35.00661572,135.7669709,1,0,2,0,120,0,0,0,0,1,0,1750,ダイニングバー・バル,Z022,SS20,Y432,SA22,X430
0,0,170,1,0,2,1,"[V,M]",1,1,1,1,0,0,35.004726,135.7699118,0,0,1,1,120,0,1,0,1,0,0,2500,居酒屋,Z022,SS20,Y432,SA22,X430
1,0,32,1,1,1,1,"[V,M,A,D,J]",1,1,0,0,0,0,35.00289268,135.7730421,1,0,0,0,40,0,0,0,0,1,1,3500,イタリアン・フレンチ,Z022,SS20,Y432,SA22,X430
0,0,89,1,1,1,1,"[V,M,A,D,J,G]",0,1,0,0,0,0,35.00358687,135.7657758,0,0,2,0,70,0,1,0,0,0,0,3500,イタリアン・フレンチ,Z022,SS20,Y432,SA22,X430
0,0,200,1,0,1,1,"[V,M,J]",1,1,0,1,0,0,35.00477933,135.769909,1,0,1,0,100,0,1,0,1,0,0,3500,焼肉・ホルモン,Z022,SS20,Y432,SA22,X430
0,0,40,1,1,2,1,"[V,M,A,D,J]",1,1,0,1,0,0,35.00345142,135.7697499,1,0,2,0,42,0,0,0,1,0,1,4500,焼肉・ホルモン,Z022,SS20,Y432,SA22,X430
0,1,200,1,0,2,1,"[V,M]",1,1,1,1,0,0,35.00656912,135.7695312,1,0,2,1,200,0,1,0,0,1,1,2500,居酒屋,Z022,SS20,Y432,SA22,X430
0,1,250,1,0,2,1,"[V,M]",1,1,1,1,0,0,35.00309007,135.7695358,1,0,2,1,250,0,1,0,0,1,1,2500,居酒屋,Z022,SS20,Y432,SA22,X430
0,0,60,0,1,2,1,,1,1,0,0,0,0,34.99708181,135.7670995,1,0,1,0,100,0,1,0,0,1,1,2500,ダイニングバー・バル,Z022,SS20,Y432,SA22,X430
0,0,150,1,0,1,1,"[V,M,A,D,J]",1,1,0,1,0,0,35.00366003,135.7706409,0,1,2,0,32,0,1,0,0,0,1,3500,居酒屋,Z022,SS20,Y432,SA22,X430
0,0,100,1,1,1,1,"[V,M,A,J]",1,1,1,1,1,0,35.00424607,135.770227,0,0,2,0,100,0,1,0,0,1,1,2500,居酒屋,Z022,SS20,Y432,SA22,X430
0,0,46,1,0,2,1,"[V,M,A,J]",0,0,0,1,0,0,35.00526724,135.7661999,1,0,2,0,20,0,1,0,1,0,1,3500,居酒屋,Z022,SS20,Y432,SA22,X430
0,0,30,1,1,1,1,"[V,M,A,D,J, {'code': 'c12', 'name': 'Discover'}]",0,1,1,0,0,0,35.00599838,135.770765,0,1,0,0,30,0,0,0,0,0,0,2500,韓国料理,Z022,SS20,Y432,SA22,X430
0,0,180,1,1,1,1,"[V,M,A,D,J,G, {'code': 'c12', 'name': 'Discover'}]",0,1,1,1,0,0,35.00753679,135.7698325,0,0,2,0,80,0,1,0,1,1,未確認,2500,居酒屋,Z022,SS20,Y432,SA22,X430
0,0,134,1,1,2,1,"[V,M,A,D,J,G]",1,1,1,0,0,0,35.00665743,135.7688626,1,0,2,0,134,0,1,0,0,0,0,3500,焼肉・ホルモン,Z022,SS20,Y432,SA22,X430
0,0,90,1,1,1,1,"[V,M,A,D,J]",0,1,1,1,0,0,35.0062111,135.7693221,0,1,0,0,99,0,1,0,0,0,0,2500,居酒屋,Z022,SS20,Y432,SA22,X430
0,0,75,1,1,1,1,"[V,M,A,D,J]",1,1,1,1,0,0,35.00421913,135.7706517,0,1,0,0,45,0,1,0,0,0,0,2500,居酒屋,Z022,SS20,Y432,SA22,X430
0,1,90,1,0,2,1,"[V,M,A,D,J]",1,1,0,0,0,0,35.00452406,135.7688716,1,0,2,0,30,0,0,0,0,0,0,1750,イタリアン・フレンチ,Z022,SS20,Y432,SA22,X430
0,0,40,0,1,2,1,,1,1,1,0,0,0,35.00740209,135.7699356,1,1,2,0,40,0,1,0,0,1,1,1750,カフェ・スイーツ,Z022,SS20,Y432,SA22,X430
0,0,70,1,0,1,1,"[V,M,A,D,J]",1,1,0,1,0,0,35.00403498,135.770287,0,0,2,0,32,0,1,0,0,0,0,4500,居酒屋,Z022,SS20,Y432,SA22,X430
